from_bus,to_bus,length_km,r_ohm_per_km,x_ohm_per_km,r_ohm,x_ohm,g_siemens,b_siemens,y_magnitude
122,23,0.00133432,0.2067,0.0804248,0.000275803944,0.000107312419136,3149.030252939082,-1225.254611933116,3378.9999109187547
70,109,0.00154519,0.2067,0.0804248,0.000319390773,0.000124271596712,2719.2863318437703,-1058.045763818427,2917.872340059871
5,103,0.00876997,0.2067,0.0804248,0.001812752799,0.0007053230832560001,479.11384498483756,-186.4181671994996,514.1029172434013
17,97,0.00766335,0.2067,0.0804248,0.001584014445,0.0006163233910800001,548.2999011009123,-213.33773529782607,588.3415426852632
21,66,0.0258995,0.2067,0.0804248,0.00535342665,0.0020829621076,162.2353345470637,-63.12406547595883,174.08317385034894
58,50,0.00575865,0.2067,0.0804248,0.0011903129549999999,0.00046313827452,729.6526177318775,-283.90017344249014,782.9382166197136
86,88,0.0104802,0.2067,0.0804248,0.00216625734,0.0008428679889600001,400.928803563069,-155.9971883928356,430.20812209090593
26,53,0.00491506,0.2067,0.0804248,0.001015942902,0.000395292717488,854.885606096706,-332.627014480921,917.3168101990846
110,43,0.0226867,0.2067,0.0804248,0.00468934089,0.0018245733101600002,185.21045577812885,-72.06344394709656,198.73613884509922
93,107,0.053218,0.2067,0.0804248,0.0110001606,0.004280047006400001,78.95475303659806,-30.720465515325564,84.72071782361442
8,46,0.0122898,0.2067,0.0804248,0.00254030166,0.0009884047070400001,341.89442034058123,-133.027529642028,366.8625332501027
90,37,0.00403932,0.2067,0.0804248,0.0008349274439999999,0.000324861503136,1040.2280698488053,-404.74182134482925,1116.1945973919155
28,14,0.0155897,0.2067,0.0804248,0.00322239099,0.00125379850456,269.5250099169116,-104.86935180244622,289.2080772007872
33,5,0.0114533,0.2067,0.0804248,0.00236739711,0.00092112936184,366.86492513962577,-142.74329091131776,393.65660212664585
12,72,0.020668,0.2067,0.0804248,0.0042720755999999995,0.0016622197664,203.3004667651285,-79.10207730765413,218.14724023307105
51,69,0.0166045,0.2067,0.0804248,0.00343215015,0.0013354135916000002,253.05272950716224,-98.46016042606496,271.53284718823886
79,113,0.00842342,0.2067,0.0804248,0.0017411209139999997,0.000677451868816,498.8251858629484,-194.08764299947003,535.2537521739523
91,48,0.0242906,0.2067,0.0804248,0.00502086702,0.00195356664688,172.9810728060104,-67.30511942045875,185.61365965176293
119,12,0.01702,0.2067,0.0804248,0.003518034,0.0013688300960000002,246.87509089904088,-96.05650609838986,264.90406352156947
67,124,0.00362851,0.2067,0.0804248,0.000750013017,0.000291822191048,1157.9998531357708,-450.565585817483,1242.5671036147378
19,108,0.0240211,0.2067,0.0804248,0.00496516137,0.0019318921632800001,174.92179988017517,-68.06023595066817,187.69611554579564
11,92,0.00190262,0.2067,0.0804248,0.000393271554,0.000153017832976,2208.4357607413335,-859.2791696684548,2369.7150041191157
18,128,0.00994912,0.2067,0.0804248,0.002056483104,0.0008001559861760001,422.3302208739744,-164.3242551898656,453.1724575778674
119,57,0.011763,0.2067,0.0804248,0.0024314120999999996,0.0009460369224,357.2059888720289,-138.9851002120714,383.29228607813593
118,90,0.0168444,0.2067,0.0804248,0.0034817374799999998,0.00135470750112,249.4487216583361,-97.05787880806652,267.66564324862344
41,26,0.0117273,0.2067,0.0804248,0.00242403291,0.0009431657570400001,358.2933878302488,-139.40819573086694,384.45909639363816
120,39,0.00270991,0.2067,0.0804248,0.000560138397,0.000217943969768,1550.5363820575872,-603.2974282520805,1663.7700739644906
123,118,0.0190418,0.2067,0.0804248,0.00393594006,0.0015314329566400002,220.6626499123862,-85.857520496728,236.77736144361938
54,31,0.0038972,0.2067,0.0804248,0.00080555124,0.00031343153056000004,1078.162282433972,-419.5016252167186,1156.8990970792138
43,67,0.0235563,0.2067,0.0804248,0.004869087209999999,0.0018945107162400001,178.37326095786165,-69.40316322149896,191.39963241838117
68,58,0.00588979,0.2067,0.0804248,0.001217419593,0.000473685182792,713.4064282600358,-277.57895167647666,765.5055886775441
93,96,0.0342991,0.2067,0.0804248,0.007089623969999999,0.00275849825768,122.50508168149241,-47.66544118634587,131.45147135455778
96,104,0.00797061,0.2067,0.0804248,0.0016475250869999998,0.000641034715128,527.16342251116,-205.11375337578878,565.661494055927
57,2,0.00163878,0.2067,0.0804248,0.000338735826,0.000131798553744,2563.9890937781006,-997.6212388451137,2751.233943016825
105,29,0.0118002,0.2067,0.0804248,0.00243910134,0.0009490287249600001,356.07990094249897,-138.54695122070777,382.08396138515553
76,75,0.0353475,0.2067,0.0804248,0.007306328249999999,0.002842815618,118.87160469910675,-46.25169343785545,127.55264618819187
35,28,0.01597,0.2067,0.0804248,0.003300999,0.0012843840560000002,263.10670301200224,-102.37205596710054,282.32104953895504
52,64,0.0022179,0.2067,0.0804248,0.00045843993,0.00017837416392000002,1894.5011258856018,-737.1304990281778,2032.8541237824577
74,76,0.0101905,0.2067,0.0804248,0.00210637635,0.0008195689244,412.3265832983343,-160.43194483043965,442.4382671249803
75,59,0.0157887,0.2067,0.0804248,0.0032635242899999996,0.00126980303976,266.12792991833885,-103.54758363858936,285.5629127880771
10,70,0.00158515,0.2067,0.0804248,0.000327650505,0.00012748537172,2650.7359222166206,-1031.3735190957295,2844.315781558283
46,27,0.00161497,0.2067,0.0804248,0.000333814299,0.000129883639256,2601.790774504589,-1012.3294759621515,2791.796232213052
34,125,0.00977874,0.2067,0.0804248,0.002021265558,0.000786453208752,429.6886968159165,-167.1873609273378,461.06831362088695
65,20,0.00290215,0.2067,0.0804248,0.000599874405,0.00023340483332000002,1447.8280058238463,-563.3346773235688,1553.5610361756326
124,123,0.0144843,0.2067,0.0804248,0.00299390481,0.00116489693064,290.0943813026294,-112.87267826505908,311.2796035111888
62,9,0.100396,0.2067,0.0804248,0.0207518532,0.0080743282208,41.85240494742496,-16.284331385658746,44.90883263413993
45,8,0.0361795,0.2067,0.0804248,0.007478302650000001,0.0029097290516000005,116.13797999147792,-45.18806876254772,124.61938835907384
112,84,0.0229465,0.2067,0.0804248,0.00474304155,0.0018454676732000002,183.11350520130196,-71.24754249208355,196.4860506455064
38,127,0.0447696,0.2067,0.0804248,0.00925387632,0.00360058612608,93.85417888705007,-36.51767569499383,100.70822971697564
105,52,0.0387,0.2067,0.0804248,0.00799929,0.00311243976,108.57400638505622,-42.245006041204014,116.50302741956362
105,98,0.016,0.2067,0.0804248,0.0033072,0.0012867968,262.61337794385474,-102.1801083621622,281.7916975710695
3,106,0.0564,0.2067,0.0804248,0.011657879999999999,0.00453595872,74.50024906208647,-28.987264783592128,79.94090711236015
31,21,0.03921,0.2067,0.0804248,0.008104707000000001,0.0031534564080000003,107.16179666160865,-41.6955300636214,114.98768582344074
6,105,0.0524,0.2067,0.0804248,0.01083108,0.00421425952,80.18729097522282,-31.20003308768312,86.04326643391437
95,7,0.0138869,0.2067,0.0804248,0.00287042223,0.00111685115512,302.5739399795257,-117.72834353200464,324.67052842154203
126,54,0.00180162,0.2067,0.0804248,0.000372394854,0.00014489492817600002,2332.2421193712744,-907.4509240542375,2502.5627830159037
